sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,local_bo_qty,went_on_backorder
1114112,4,2,0,0,0,0,0,0,0,0,0,0,78
1114197,0,2,0,16,40,40,0,1,1,1,0,0,89
1114198,3,8,0,2,3,5,1,2,2,6,0,0,78
1114221,5,2,0,0,0,1,0,1,5,6,0,0,78
1114222,0,8,0,9,14,21,5,17,36,43,0,0,89
1114223,978,8,0,0,0,0,60,155,435,690,89,0,78
1114410,20,8,0,0,0,0,0,0,0,0,1,0,78
1114411,0,8,0,10,10,20,6,8,15,20,1,0,89
1114412,122,2,66,62,93,124,44,129,189,227,27,0,78
1114822,1,4,0,0,0,0,0,0,0,0,0,0,78
1114823,0,12,0,31,31,31,7,15,33,47,2,0,89
1114945,10,8,0,0,0,0,0,0,0,0,2,0,78
1114946,1,9,0,2,2,2,0,6,6,6,0,0,89
1115060,0,2,0,3,3,3,0,0,0,0,0,0,89
1115061,0,2,0,1,1,1,0,0,0,0,0,0,78
1115134,19,12,19,0,0,0,0,0,0,0,1,0,78
1115135,7,2,0,0,0,10,1,2,6,11,0,0,89
1115136,8,2,0,0,0,5,1,2,6,11,2,0,78
1115137,21,4,0,0,0,0,0,0,0,0,0,0,78
1115452,2485,2,0,0,0,0,0,0,5,10,0,0,78
1115453,55,8,0,216,360,492,30,108,275,340,51,0,89
1115454,4985,2,0,0,0,0,0,0,5,5,1,0,78
1115563,578,8,0,370,555,925,108,333,737,1146,258,0,78
1115564,3,14,0,6,18,24,3,9,12,18,1,0,89
1115565,158,8,0,0,0,0,8,25,28,30,2,0,78
1115619,1,8,0,3,5,7,1,2,4,6,0,0,78
1115620,-34,8,0,120,240,240,83,122,144,165,33,34,89
1115621,103,8,0,0,0,0,0,0,1,2,68,0,78
1115710,8,52,0,0,0,0,1,4,7,7,0,0,78
1115711,5,4,0,0,15,15,3,5,8,12,0,0,89
1115712,15,8,0,0,20,20,5,17,26,33,0,0,78
1115718,6,9,5,6,12,18,4,9,13,21,0,0,78
1115719,3,2,0,0,6,12,2,8,14,19,0,0,89
1115720,67,8,0,0,0,80,5,19,41,62,4,0,78
1115941,3,0,0,12,26,38,5,16,29,42,1,0,89
1116445,189,52,0,0,0,0,6,31,63,94,16,0,78
1116446,4,9,0,43,67,115,5,22,40,58,4,0,89
1116447,121,8,28,0,0,96,18,49,100,169,39,0,78
1116533,200,8,1,0,0,0,5,23,55,82,16,0,78
1116534,0,8,0,6,10,14,0,0,0,0,0,0,89
1116535,56,6,1,22,22,66,8,24,62,87,11,0,78
1116571,7,8,0,0,0,0,0,0,0,0,0,0,78
1116572,33,8,24,37,51,86,18,40,94,132,27,0,89
1116573,63,9,0,0,0,0,0,1,2,2,0,0,78
1116609,3,8,0,0,0,0,0,0,0,0,0,0,78
1116610,-1,0,0,26,36,51,8,18,42,52,1,1,89
1116611,4,8,0,0,0,0,0,0,0,0,0,0,78
1116670,6,8,0,0,0,0,0,0,1,1,1,0,78
1116671,0,10,0,1,2,2,2,2,3,3,0,0,89
1116672,43,8,4,28,64,97,12,39,82,145,22,0,78
1116702,34,8,0,0,0,0,2,3,13,15,0,0,78
1116703,0,2,0,0,0,0,0,0,0,0,0,0,89
1116704,5,2,0,0,0,0,0,0,0,0,0,0,78
1116733,15,0,0,0,0,0,0,0,3,4,1,0,78
1116734,3,3,0,167,257,347,32,97,176,181,40,0,89
1116735,28,8,0,0,0,0,0,1,1,2,0,0,78
1116756,7,8,0,10,10,20,2,5,10,21,0,0,78
1116757,5,8,0,50,50,100,5,30,44,62,0,0,89
1116758,2,9,0,0,0,0,0,0,2,2,0,0,78
1116833,978,8,0,101,323,527,0,0,0,3,2,0,78
1116834,2,8,0,4,6,9,1,5,6,9,2,0,89
1116835,0,2,0,10,10,10,0,0,0,0,0,0,78
1116859,124,8,0,0,0,0,7,12,19,29,2,0,78
1116860,6,2,0,28,52,76,7,12,14,14,5,0,89
1116861,553,2,163,560,1200,1840,325,697,1118,1795,256,7,78
1116867,3,8,0,0,1,3,0,1,2,2,0,0,78
1116868,-7,8,0,56,96,112,13,30,56,76,0,7,89
1116869,51,8,10,46,102,152,16,42,95,160,17,0,78
1116969,206,8,0,0,0,0,8,25,47,68,25,0,78
1116970,1,2,0,3,5,7,1,2,7,8,0,0,89
1116971,77,4,0,0,0,0,3,5,13,20,2,0,78
1117010,1293,8,0,0,0,0,0,0,4,4,0,0,78
1117011,1,8,0,2,4,6,0,2,3,4,0,0,89
1117012,79,8,0,0,0,0,1,4,11,13,1,0,78
1117277,118,8,0,0,0,0,0,0,0,0,0,0,78
1117278,4,2,0,0,0,0,2,5,5,5,1,0,89
1117279,65,2,0,133,213,349,92,226,266,299,0,0,78
1117280,24,4,1,23,38,49,3,7,17,22,0,0,78
1117281,4,2,0,0,0,0,0,0,0,0,0,0,78
1117282,12,8,0,0,0,4,3,10,22,30,0,0,78
1117283,2,2,0,2,6,8,1,3,6,12,0,0,89
1117308,150,2,0,0,0,0,5,14,21,34,5,0,78
1117309,112,2,0,0,0,0,13,513,513,513,0,0,89
1117310,229,2,417,930,1750,2680,643,1215,1965,2621,344,1,78
1117343,3,8,0,42,85,107,17,30,53,88,10,0,89
1117344,7331,3,2307,14400,31000,46900,4688,15480,32594,50716,2878,0,78
1117564,2,8,1,1,1,2,0,1,2,3,0,0,78
1117565,2,8,0,5,9,13,1,5,8,11,0,0,89
1117566,1330,2,3,0,0,285,140,368,633,876,173,4,78
1117586,41,8,20,40,80,160,17,47,99,152,25,0,78
1117587,12,8,1,165,294,412,32,131,256,373,47,0,89
1117588,6,2,0,0,0,0,0,0,0,0,1,0,78
1117638,4,4,0,0,0,0,0,1,2,2,0,0,78
1117639,12,8,0,30,30,30,1,1,4,16,0,0,89
1117640,38,8,0,0,0,0,0,2,2,2,2,0,78
1117649,0,2,0,4,6,8,2,2,5,11,0,0,89
1117650,204,8,171,0,0,0,1,1,3,3,3,0,78
1117651,2,8,0,10,17,24,0,9,12,19,0,0,89
1117652,41,8,0,0,0,0,0,2,15,16,0,0,78
1117700,62,2,90,0,0,15,3,8,17,24,3,0,78
1117701,7,2,0,5,10,15,2,6,15,22,0,0,89
1117755,28,4,0,0,0,0,0,0,2,2,0,0,78
1117776,0,2,0,5,7,7,0,0,0,0,0,0,89
1117858,32,8,0,105,109,109,17,18,19,19,19,0,78
1117859,42,9,0,0,48,96,7,29,46,91,14,0,89
1117910,57,2,0,0,0,0,50,50,50,50,0,0,78
1117924,2,3,0,0,0,0,0,0,0,0,2,0,89
1117925,19,8,0,0,0,0,0,0,0,0,0,0,78
1117955,2,8,0,0,0,0,0,0,0,0,0,0,78
1117956,1,8,0,2,4,5,1,2,3,6,0,0,89
1117957,5,8,0,0,0,0,0,0,0,0,1,0,78
1117978,0,12,0,5,8,9,0,0,0,0,0,0,78
1117979,35,2,0,6,18,18,6,10,10,10,0,0,89
1117980,4,4,0,1,1,1,0,0,0,0,0,0,78
1118119,8,12,0,3,3,3,0,0,0,0,1,0,78
1118120,0,12,0,1040,1280,1640,111,443,1035,1717,150,20,89
1118121,20,2,0,0,0,0,0,0,0,0,1,0,78
1118247,7,4,0,0,0,0,1,1,1,1,0,0,78
1118248,0,12,0,5,6,9,0,4,5,6,3,0,89
1118249,10,4,0,0,0,0,11,21,21,21,0,0,78
1118344,9,8,0,0,0,0,0,0,1,1,0,0,78
1118345,0,2,0,54,72,72,0,0,0,0,4,0,89
1118346,2,8,0,0,0,0,0,0,0,0,1,0,78
1118384,245,10,0,0,0,0,11,30,67,83,11,0,78
1118385,5,8,0,25,50,75,8,26,39,55,0,0,89
1118386,5,8,0,0,0,0,0,0,0,0,1,0,78
1118402,359,0,30,64,192,256,67,196,395,608,267,0,78
1118403,8,2,0,0,0,0,3,4,8,8,0,0,89
1118404,0,2,5,0,6,6,0,0,0,0,0,0,78
1118405,1,8,0,0,0,1,0,0,1,1,1,0,78
1118406,2,8,0,0,1,2,0,1,1,1,0,0,89
1118407,3,9,0,2,2,2,0,0,0,0,0,0,78
1118496,53,8,0,0,0,0,0,1,1,1,1,0,78
1118497,87,2,0,18,72,108,16,98,173,241,48,0,89
1118498,2,8,0,1,3,5,1,2,4,6,1,0,78
1118562,0,4,0,22,33,39,0,0,0,0,0,0,78
1118563,1,8,0,3,5,6,1,2,4,6,0,0,89
1118564,4,8,0,0,2,4,0,1,3,5,0,0,78
1118737,1,2,0,6,6,6,2,2,2,2,0,0,78
1118738,1,8,0,1,3,4,1,1,3,4,1,0,78
1118739,1,8,0,3,6,9,2,4,8,10,0,0,89
1118740,7,2,0,9,24,42,7,16,28,32,3,0,89
1118741,690,12,0,664,844,1024,171,349,546,973,273,0,78
1118846,43,8,1,186,314,409,46,159,291,445,112,0,78
1118847,14,8,0,112,112,212,45,66,112,153,21,0,89
1118848,29,8,0,0,12,20,4,16,33,58,0,0,78
1118983,1,9,0,0,0,0,0,0,0,0,0,0,78
1118984,0,12,0,4,7,9,1,3,4,7,0,0,89
1118985,3076,8,0,0,0,0,14,69,212,315,81,0,78
1119084,446,8,109,588,966,1386,115,368,844,1458,144,0,78
1119085,-372,5,5,2416,3766,4866,545,1302,2190,3447,250,412,89
1119086,73,0,0,0,0,0,0,0,0,0,2,0,78
1119408,19,8,0,0,0,0,0,0,0,0,1,0,78
1119409,1,8,0,3,4,4,1,3,4,8,0,0,89
1119410,918,2,0,0,0,0,0,0,0,0,1,0,78
1119651,1,2,0,0,0,0,0,0,0,0,0,0,78
1119652,0,2,0,7,7,7,0,0,0,1,0,0,89
1119653,6,2,0,0,0,0,0,0,0,1,0,0,78
1119761,310,2,0,0,0,0,1,2,4,6,2,0,78
1119762,15,4,7,7,21,28,0,9,10,18,5,0,89
1119763,20,2,0,0,0,0,0,0,0,0,0,0,78
1119990,14,4,0,0,0,0,0,0,0,0,0,0,78
1119991,0,2,0,32,70,103,0,0,0,0,0,0,89
1119992,2,4,0,1,2,3,0,1,2,2,0,0,78
1120032,18,2,0,0,0,0,0,0,0,0,0,0,78
1120033,4,3,0,0,3,3,3,6,12,18,0,0,89
1120034,3,8,0,11,17,29,3,9,16,20,1,0,78
1120139,136,8,0,0,45,90,20,44,101,156,34,0,78
1120140,3,8,0,26,40,54,4,11,16,25,1,0,89
1120141,1,8,0,1,1,2,0,1,1,1,0,0,78
1120185,7,9,9,26,26,52,4,21,28,50,0,0,78
1120186,0,2,3,3,6,10,0,5,10,11,0,0,89
1120187,8,9,0,0,0,0,0,0,1,1,0,0,78
1120246,2,4,0,0,0,0,0,0,0,0,0,0,78
1120247,0,4,0,5,5,5,0,0,0,0,0,0,89
1120248,4,8,0,0,0,0,2,2,6,8,0,0,78
1120263,16,52,0,0,0,0,0,0,0,0,1,0,78
1120264,4,2,0,0,0,0,0,0,0,6,0,0,89
1120265,2,2,0,3,3,3,0,0,0,0,0,0,78
1120302,79,16,2,0,0,0,4,15,32,46,34,0,78
1120303,9,8,0,40,60,100,18,36,58,102,8,0,89
1120304,189,52,0,0,0,0,0,0,4,9,2,0,78
1120319,5,8,0,0,0,0,0,0,0,1,0,0,78
1120320,1,2,1,3,6,8,1,2,2,2,0,0,89
1120321,0,2,0,192,256,256,0,0,0,0,18,0,78
1120406,10,8,0,0,10,20,1,5,8,16,0,0,78
1120407,1,12,0,1,3,4,4,5,10,16,1,0,89
1120408,19,8,0,0,0,0,0,0,3,3,0,0,78
1120626,15,2,0,40,80,100,4,9,34,49,4,0,78
1120627,0,8,0,25,25,37,40,45,50,84,0,0,89
1120628,0,8,0,0,0,0,0,0,0,0,0,0,78
1120677,30,6,0,0,0,0,0,0,0,0,0,0,78
1120678,48,8,66,3402,5508,7695,1198,2623,4789,6803,611,84,89
1120679,1169,2,1,0,0,0,13,51,70,96,28,0,78
1120688,9,2,0,0,4,8,5,6,19,30,1,0,78
1120689,0,12,0,7,9,11,3,4,6,8,0,0,89
1120690,106,9,3,0,75,150,19,59,119,191,27,0,78
1120716,913,9,100,1650,3150,4500,497,1715,3409,5017,650,0,78
1120717,0,8,0,7,11,15,2,6,12,16,0,0,89
1120718,10,3,0,28,70,98,12,29,55,65,5,0,78
1120783,58,4,24,38,97,115,10,40,75,152,25,0,78
1120784,2,8,0,2,5,7,2,4,4,8,0,0,89
1120785,83,2,1,10,60,110,33,68,169,209,24,0,78
1120823,45,8,0,0,0,0,0,0,1,1,0,0,78
1120824,2,3,0,10,15,20,4,10,15,23,0,0,89
1120825,76,2,21,36,86,146,14,59,118,166,24,0,78
1120863,702,8,0,0,960,960,0,0,2,2,2,0,78
1120864,267,8,14,250,400,450,67,184,372,612,294,0,78
1120865,34,9,0,0,10,20,2,9,20,44,1,0,89
1120866,4,12,0,0,0,0,2,4,8,10,15,0,89
1120867,83,8,3,35,98,125,12,42,103,176,32,0,78
1120868,7,8,0,0,0,0,1,1,2,3,0,0,89
1120869,0,4,0,0,0,0,0,0,0,0,1,0,78
1120931,91,8,6,105,215,303,20,84,199,345,23,0,78
1120953,56,2,0,0,0,0,0,0,0,1,0,0,78
1120954,0,9,0,9711,17237,19958,0,0,0,0,675,0,89
1120955,530,2,9,0,0,0,30,79,150,210,44,0,78
1120991,58,12,1,0,0,0,2,5,31,46,2,0,78
1120992,0,4,0,4,4,4,0,0,1,3,1,0,89
1120993,110,3,62,0,60,180,12,66,144,219,65,0,78
1121150,52,8,1,30,50,90,20,71,161,208,44,0,78
1121151,1,8,1,104,104,104,2,6,17,18,15,0,89
1121152,4,8,0,0,0,0,0,0,0,0,1,0,78
1121156,0,12,0,1,1,1,0,0,0,0,0,0,78
1121157,100,8,0,500,750,750,175,302,497,832,0,0,89
1121158,37,2,10,14,35,56,9,47,79,100,29,0,78
1121159,47,12,0,0,0,0,4,4,4,4,0,0,78
1121256,0,8,0,0,0,0,0,0,0,0,0,0,78
1121257,2,8,0,1,2,4,1,2,9,11,1,0,89
1121258,99,2,0,0,0,0,0,0,0,1,0,0,78
1121393,33,8,0,0,14,28,2,11,28,54,0,0,78
1121394,-1,2,0,28,42,42,13,16,24,35,10,1,89
1121395,2,9,0,0,0,0,0,0,0,0,0,0,78
1121462,129,2,0,84,168,252,55,109,203,311,44,0,78
1121463,0,2,0,6,12,15,2,9,13,18,0,0,89
1121464,10,9,0,3,3,3,0,0,0,0,0,0,78
1121553,6,4,0,0,0,0,0,0,0,0,4,0,78
1121554,1,8,0,2,3,4,1,1,2,4,0,0,89
1121555,12,3,0,0,0,0,0,1,1,1,1,0,78
1121605,316,2,0,0,0,0,0,0,0,0,2,0,78
1121606,8,2,0,1,4,4,0,0,0,0,1,0,89
1121607,26,2,0,0,0,0,0,0,1,8,2,0,78
1121661,8,2,0,0,0,0,2,9,10,10,0,0,78
1121662,7,2,0,0,0,50,1,4,5,5,1,0,89
1121663,0,2,0,3,3,3,0,0,0,0,0,0,78
1121687,13,4,0,0,0,0,0,0,0,0,0,0,78
1121688,1,2,0,72,144,228,6,12,13,13,0,0,89
1121689,36,2,0,0,0,0,0,1,7,7,1,0,78
1121695,0,8,0,5,7,7,0,0,0,0,0,0,78
1121696,5,3,0,5,8,8,4,4,4,4,0,0,89
1121697,7,2,0,0,0,0,1,1,1,1,0,0,78
1121752,0,2,0,352,442,442,0,0,2,2,62,0,89
1121753,185,8,0,0,0,30,16,66,187,295,29,0,78
1121941,971,8,0,0,0,0,0,80,215,337,14,0,78
1121942,0,2,0,1200,2112,2864,0,0,0,0,136,0,89
1121943,106,2,0,0,0,0,0,0,0,0,1,0,78
1122113,47,8,0,0,0,0,0,0,1,1,2,0,78
1122114,0,2,0,4,7,8,0,0,0,0,0,0,89
1122115,630,8,121,760,1880,2930,552,1648,3032,4406,305,0,78
1122342,23262,6,6072,38808,74088,97608,7822,26147,52405,87762,5176,0,78
1122343,9,2,0,24,48,72,4,22,56,78,2,0,89
1122344,44,2,0,0,0,0,0,1,2,4,0,0,78
1122448,13,2,0,0,0,0,0,0,1,1,0,0,78
1122449,1,2,0,0,1,2,0,0,0,0,1,0,89
1122450,24005,12,0,0,0,0,3,17,32,63,14,0,78
1122460,36,8,6,24,48,64,6,21,46,84,18,0,78
1122461,0,2,0,5,5,5,0,0,0,0,0,0,89
1122462,45,2,0,0,0,0,0,0,2,3,0,0,78
1122486,391,8,0,0,0,0,2,2,3,3,3,0,78
1122487,1,8,0,10,10,10,2,10,17,20,2,0,89
1122488,658,2,183,480,1080,1680,241,615,1243,2141,228,0,78
1122740,8220,8,0,0,0,0,0,20,134,179,78,0,78
1122741,-30,8,0,360,360,540,0,110,398,773,125,30,89
1122879,6,8,0,24,48,72,9,34,59,73,6,0,89
1122880,490,12,0,0,0,0,10,10,10,10,0,0,78
1122911,118,8,0,0,0,0,2,12,24,36,1,0,78
1122912,2,12,0,10,10,10,0,0,2,5,0,0,89
1122913,602,8,27,240,480,960,102,390,873,1430,127,0,78
1122999,2,8,0,8,19,26,4,7,15,21,2,0,89
1123000,55,9,0,0,0,0,2,2,7,11,1,0,78
1123193,5,8,0,0,0,0,0,0,0,0,0,0,78
1123194,39,2,0,0,0,0,62,196,282,328,67,0,89
1123195,41,8,0,0,0,0,0,1,3,4,0,0,78
1123265,277,12,0,0,0,0,0,0,2,3,0,0,78
1123266,2,3,0,0,1,2,0,0,1,1,0,0,89
1123267,75,8,0,112,169,226,29,82,145,211,30,0,78
1123392,27,2,0,0,0,0,0,0,0,0,2,0,78
1123393,5,4,1,35,73,107,13,33,70,75,0,0,89
1123394,92,2,51,80,240,400,24,139,242,299,47,0,78
1123494,11,4,0,0,0,0,7,12,44,44,0,0,89
1123495,0,16,0,4,4,4,0,0,0,0,0,0,78
1123567,185,2,0,360,684,1080,69,212,360,394,105,0,78
1123568,0,2,0,5,5,5,0,0,0,0,0,0,89
1123569,48,2,0,0,0,0,0,0,16,16,0,0,78
1123604,6,12,0,0,0,0,0,0,0,0,0,0,78
1123605,4,8,0,4,12,16,6,12,15,15,0,0,89
1123606,0,2,7,3,3,3,0,0,0,0,1,0,78
1123640,8,8,0,9,18,27,2,8,16,21,0,0,78
1123641,0,8,0,3,5,7,0,2,4,5,1,0,89
1123642,0,2,0,5,9,9,0,0,0,0,0,0,78
1123706,25,4,0,0,0,0,0,0,0,0,0,0,78
1123708,18,4,0,0,0,0,1,6,10,14,2,0,78
1124216,18,8,0,0,0,0,0,0,0,0,0,0,78
1124217,3,12,0,4,10,12,2,5,15,21,0,0,89
1124218,44,8,0,0,0,0,2,6,6,7,0,0,78
1124242,0,4,0,3,3,3,0,0,0,0,1,0,78
1124243,2,8,0,25,45,63,7,26,47,64,0,0,89
1124244,382,8,0,0,0,0,0,1,1,2,0,0,78
1124304,26,2,0,0,0,0,0,0,0,0,0,0,78
1124305,11,2,0,6,12,18,4,19,25,30,0,0,89
1124306,12,2,0,0,0,0,0,0,0,0,0,0,78
1124321,0,12,0,163,197,231,0,52,112,162,0,0,89
1124322,128,8,42,80,200,300,38,96,194,287,82,0,78
1124503,681,8,234,278,938,1658,218,611,1267,2058,203,0,78
1124504,2,2,0,0,0,0,3,10,22,23,2,0,89
1124505,345,2,254,154,308,462,79,217,426,618,65,0,78
1124934,445,12,29,84,259,469,96,242,597,891,71,0,78
1124935,4,8,1,20,30,42,9,19,40,60,10,0,89
1124936,165,8,0,0,0,0,0,0,0,0,0,0,78
1125123,501,8,146,441,953,1284,149,436,899,1477,138,0,78
1125124,96,8,5,290,514,668,45,197,465,791,89,0,89
1125133,4,2,0,5,10,15,1,6,11,17,0,0,78
1125134,11,2,0,0,0,0,1,2,3,3,0,0,89
1125192,7,2,0,0,10,10,0,4,4,8,0,0,78
1125193,12,2,0,24,72,96,6,22,39,55,4,0,89
1125284,243,2,0,0,0,0,1,3,4,7,3,0,78
1125285,2,2,0,0,0,0,1,3,6,6,0,0,89
1125286,10810,8,0,0,0,0,1,3,7,12,2,0,78
1125367,2,12,0,0,0,0,0,0,0,1,1,0,78
1125368,0,9,0,12,12,12,0,0,2,6,1,0,89
1125369,4,2,0,12,20,30,4,13,24,29,0,0,78
1125370,125,8,0,0,0,100,10,34,82,122,13,0,78
1125371,0,8,0,0,0,0,0,0,0,0,0,0,78
1125372,3,14,0,0,0,0,0,0,0,0,1,0,78
1125373,6,8,7,14,29,44,14,26,50,66,4,0,89
1125485,0,2,0,11,11,11,0,0,0,0,0,0,78
1125486,0,2,0,11,20,24,0,0,0,0,0,0,89
1125487,100,2,0,0,0,0,0,0,0,0,0,0,78
1125522,0,2,0,100,100,100,0,0,0,0,2,0,78
1125523,7,2,0,6,12,20,2,6,27,48,0,0,89
1125558,7,9,0,0,0,0,0,0,0,0,2,0,78
1125559,1,8,0,4,5,6,2,4,6,9,0,0,89
1125735,3,9,0,0,0,0,0,0,0,0,1,0,78
1125736,0,9,0,3,4,5,0,2,2,2,0,0,89
1125737,3,8,0,0,0,0,0,0,0,0,1,0,78
1126033,81,8,0,0,0,0,5,22,44,70,9,0,78
1126034,9,8,0,65,65,65,36,114,173,202,62,0,89
1126035,9,12,0,0,5,10,1,3,4,6,0,0,78
1126036,2,12,0,0,0,0,0,0,0,0,0,0,78
1126037,31,8,0,0,0,0,0,0,0,0,0,0,78
1126038,45,8,1,147,266,387,31,105,219,354,80,0,89
1126039,15381,8,511,8019,17820,25542,2912,10482,24104,34554,1964,0,78
1126053,38,8,0,53,95,123,12,50,86,104,17,0,78
1126054,1,8,0,48,72,120,12,26,56,76,0,0,89
1126055,122,8,46,294,420,588,63,227,386,605,146,0,78
1126176,10,8,0,0,0,0,0,0,1,4,0,0,78
1126177,9,8,0,6,12,18,2,6,12,16,0,0,89
1126178,0,5,0,0,0,0,0,0,0,0,0,0,78
1126318,117,4,545,88,88,88,48,196,289,293,66,0,78
1126319,0,8,0,70,100,100,0,0,0,0,13,0,89
1126320,3,2,0,2,3,3,0,0,0,0,0,0,78
1126428,3,8,0,16,16,16,0,1,3,4,0,0,78
1126429,1,3,0,3,5,9,1,3,5,8,0,0,89
1126430,1,8,0,3,5,7,1,3,5,6,3,0,78
1126645,4845,52,0,0,0,0,0,0,13,23,0,0,78
1126646,0,2,0,11,20,24,0,0,0,0,0,0,89
1126647,514,2,84,548,1244,1708,211,590,1025,1376,167,0,78
1126656,24168,52,0,0,0,0,0,0,0,0,0,0,78
1126657,0,3,0,26,39,52,9,23,40,53,0,0,89
1126658,262,10,1,0,0,280,11,34,50,79,27,0,78
1126808,1,12,0,29,60,80,5,36,53,97,10,0,89
1126809,3,52,0,0,0,0,0,0,0,0,1,0,78
1126934,367,2,176,585,1215,1845,247,571,1083,1654,196,0,78
1126935,0,12,7,480,768,1008,252,423,649,916,73,52,89
1126936,0,9,0,0,0,0,0,0,0,0,1,0,78
1127323,0,2,0,4,7,7,0,0,0,0,0,0,78
1127324,10,2,6,2,5,5,0,0,0,0,2,0,89
1127675,21,0,0,28,77,126,0,0,0,0,0,0,78
1127676,1,9,5,17,25,32,2,6,6,6,0,0,89
1127677,912,8,0,0,0,0,3,13,36,51,2,0,78
1127719,3,8,0,3,7,12,1,1,1,1,0,0,78
1127720,150,8,0,325,625,1225,196,438,949,1243,0,0,89
1127721,31,9,5,10,30,50,6,21,49,75,5,0,78
1127764,76,8,118,70,229,383,38,150,331,514,59,0,78
